license_plate;provider;acquisizione;brand;model;category;Car;Location;branch_office;active;bucket;Active;Date In; Canone imponibile ; Canone ivato ; Canone assicurazione ;Date Out
GT315VX;Davide Papa - Eco Liri;INVESTOR;Fiat;Panda;Small (group B);MDMR;Valle di Comino;6;Yes;Inattiva;No;2025-07-04; 1,00 € ; -   € ; 56,77 € ;dic-26
GT323VX;Davide Papa - Eco Liri;INVESTOR;Fiat;Panda;Small (group B);MDMR;Roma Fiumicino;4;Yes;Inattiva;No;2025-07-08; 1,00 € ; -   € ; 56,77 € ;dic-26
GT668DA;Davide Papa - Eco Liri;INVESTOR;Opel;Corsa;Economy (group C);EDMR;Sorrento;9;Yes;A Noleggio;Yes;2025-07-22; 1,00 € ; -   € ; 55,61 € ;dic-26
GT681VW;Davide Papa - Eco Liri;INVESTOR;Volkswagen;Volkswagen Polo;Economy (group C);EDMR;Cassino;1;Yes;A Noleggio;Yes;2025-07-16; 1,00 € ; -   € ; 66,27 € ;dic-26
GT687VW;Davide Papa - Eco Liri;INVESTOR;DS;4;Premium (group P);PEAR;Cassino;1;Yes;A Noleggio;Yes;2025-07-08; 1,00 € ; -   € ; 79,51 € ;dic-26
GT691VW;Davide Papa - Eco Liri;INVESTOR;DS;4;Premium (group P);PEAR;Roma Termini;2;Yes;A Noleggio;Yes;2025-07-10; 1,00 € ; -   € ; 79,51 € ;dic-26
GT693VW;Davide Papa - Eco Liri;INVESTOR;Fiat;Panda;Small (group B);MDMR;Roma Termini;2;Yes;Inattiva;No;2025-07-04; 1,00 € ; -   € ; 56,77 € ;dic-26
GT929VV;Davide Papa - Eco Liri;INVESTOR;Alfa Romeo;Tonale;Premium (group P);PFAR;Roma Fiumicino;4;Yes;In Service;Yes;2025-07-08; 1,00 € ; -   € ; 79,44 € ;dic-26
GV120NP;Davide Papa - Eco Liri;INVESTOR;Opel;Corsa;Economy (group C);EDMR;Cassino;1;Yes;Inattiva;No;2025-07-31; 1,00 € ; -   € ; 55,61 € ;dic-26
GV796GS;Davide Papa - Eco Liri;INVESTOR;Citroen;C3;Economy (group C);EDMR;Roma Termini;2;Yes;Inattiva;No;2025-07-16; 1,00 € ; -   € ; 56,77 € ;dic-26
GV825GS;Davide Papa - Eco Liri;INVESTOR;Citroen;C3;Economy (group C);EDMR;Cassino;1;Yes;Inattiva;No;2025-07-15; 1,00 € ; -   € ; 56,77 € ;dic-26
